Restaurant ID,Restaurant Name,Has Table booking,Has Online delivery,Is delivering now,Price range,aggregateID,Aggregate rating,Votes,Address,Cuisines,Longitude,Latitude
6317637,Le Petit Souffle,Yes,No,No,3,6,4.8,314,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","French, Japanese, Desserts",121.027535,14.565443
6304287,Izakaya Kikufuji,Yes,No,No,3,6,4.5,591,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Japanese,121.014101,14.553708
6300002,Heat - Edsa Shangri-La,Yes,No,No,4,5,4.4,270,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",121.056831,14.581404
6318506,Ooma,No,No,No,4,6,4.9,365,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",121.056475,14.585318
6314302,Sambo Kojin,Yes,No,No,4,6,4.8,229,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",121.057508,14.58445
18189371,Din Tai Fung,No,No,No,3,5,4.4,336,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Chinese,121.056314,14.583764
6300781,Buffet 101,Yes,No,No,4,5,4,520,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","Asian, European",120.9796667,14.53133333
6301290,Vikings,Yes,No,No,4,5,4.2,677,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","Seafood, Filipino, Asian, European",120.9793333,14.54
6300010,Spiral - Sofitel Philippine Plaza Manila,Yes,No,No,4,6,4.9,621,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","European, Asian, Indian",120.98009,14.55299
6314987,Locavore,Yes,No,No,3,6,4.8,532,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Filipino,121.056532,14.572041
6309903,Silantro Fil-Mex,No,No,No,3,6,4.9,1070,"75 East Capitol Drive, Kapitolyo, Pasig City","Filipino, Mexican",121.057916,14.567689
6309455,Mad Mark's Creamery & Good Eats,Yes,No,No,3,5,4.2,488,"23 East Capitol Drive, Kapitolyo, Pasig City","American, Ice Cream, Desserts",121.06082,14.570849
6318433,Silantro Fil-Mex,No,No,No,3,6,4.8,294,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","Filipino, Mexican",121.075419,14.649503
6310470,Guevarra's,Yes,No,No,3,5,4.2,458,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Filipino,121.0335917,14.59345
6314605,Sodam Korean Restaurant,No,No,No,3,5,4.3,223,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Korean,121.03811,14.59889
18185059,Cafe Arabelle,No,No,No,3,4,3.6,29,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",121.05704,14.237082
18182702,Nonna's Pasta & Pizzeria,No,No,No,3,5,4,72,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Italian, Pizza",121.0565874,14.23767897
6318213,Balay Dako,Yes,No,No,3,6,4.5,211,"Aguinaldo Highway, Tagaytay City",Filipino,120.951589,14.101834
18255654,Hobing Korean Dessert Cafe,No,No,No,2,6,4.5,118,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","Cafe, Korean, Desserts",121.045878,14.55436
6308205,Wildflour Cafe + Bakery,Yes,No,No,4,5,4.4,392,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City","Cafe, Bakery, American, Italian",121.04622,14.549337
6315438,NIU by Vikings,Yes,No,No,4,6,4.7,535,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",121.053725,14.545858
